Id,Date,TotalSteps,TotalDistance,TotalActiveMinutes,Heart_rate,Calories
4558609924,2016-04-12,5135,3.39000010490417,318,76.639377197388242,1909
4558609924,2016-04-14,6799,4.48999977111816,279,81.556555993247031,1922
4558609924,2016-04-20,4803,3.17000007629395,222,76.923271665043785,1788
4558609924,2016-04-24,8563,5.65999984741211,395,83.969233124138952,2173
4558609924,2016-05-01,3428,2.26999998092651,190,70.841904033645548,1692
4558609924,2016-05-02,7891,5.21999979019165,383,78.669752617999748,2066
4558609924,2016-05-04,5232,3.46000003814697,252,76.831370449678815,1842
4558609924,2016-05-06,3755,2.48000001907349,202,71.948977712285867,1722
4558609924,2016-05-12,6307,4.17000007629395,247,79.677771993753211,1452
4558609924,2016-04-23,6890,4.55000019073486,318,85.85146641438034,2085
4558609924,2016-04-13,4978,3.28999996185303,153,85.1021566401816,1722
4558609924,2016-05-05,10611,7.01000022888184,392,81.939271859146473,2262
4558609924,2016-04-19,5401,3.5699999332428,258,83.098467778278547,1876
4558609924,2016-04-25,8095,5.34999990463257,368,82.49422222222222,2225
4558609924,2016-05-03,5267,3.48000001907349,268,82.520326308633656,1953
4558609924,2016-04-28,9451,6.25,379,85.64209429538937,2185
4558609924,2016-04-16,7289,4.82000017166138,328,76.296323208836014,1997
4558609924,2016-04-27,9557,6.32000017166138,353,84.556975669849123,2098
4558609924,2016-04-18,8940,5.90999984741211,360,80.457469046470464,2116
4558609924,2016-05-07,8237,5.44000005722046,272,76.248573006812791,1973
4558609924,2016-05-10,6435,4.25,249,75.789623536855387,1889
4558609924,2016-04-17,9634,6.40000009536743,330,83.204689789936552,2117
4558609924,2016-04-21,13743,9.07999992370605,459,85.662387186983608,2486
4558609924,2016-04-22,9601,6.34999990463257,318,82.56045881790665,2094
4558609924,2016-04-29,7833,5.17999982833862,241,80.555091459023544,1918
4558609924,2016-04-15,7795,5.15000009536743,309,90.86349049617381,2121
4558609924,2016-05-09,11451,7.57000017166138,375,79.375432786391627,2223
4558609924,2016-05-11,9108,6.01999998092651,359,74.924235367179,2131
4558609924,2016-04-26,9148,6.05000019073486,336,91.33540288837888,2223
4558609924,2016-04-30,10319,6.82000017166138,329,79.187025065214954,2105
4558609924,2016-05-08,6543,4.32999992370605,339,104.87147199305252,2666
8877689391,2016-05-02,4790,3.64000010490417,105,65.862363387978149,2189
8877689391,2016-04-15,13422,7.17000007629395,388,91.932361695576375,3934
8877689391,2016-04-24,16674,15.7399997711182,292,87.282394366197252,3455
8877689391,2016-05-12,8064,6.11999988555908,161,71.08743947593274,1849
8877689391,2016-04-22,18258,16.3099994659424,299,82.805199746353779,3427
8877689391,2016-04-26,11101,8.43000030517578,283,67.5602887064818,2860
8877689391,2016-05-03,10818,8.21000003814697,251,67.470349081732877,2817
8877689391,2016-04-30,27745,26.7199993133545,351,102.18001487726265,4398
8877689391,2016-05-08,10686,8.10999965667725,266,72.550523192253635,2847
8877689391,2016-04-18,11423,8.67000007629395,225,66.039131763986532,2761
8877689391,2016-04-29,9733,7.3899998664856,233,64.455979351878412,2698
8877689391,2016-04-23,11200,7.42999982833862,408,93.943631436314362,3891
8877689391,2016-04-12,23186,20.3999996185303,404,86.5477053140097,3921
8877689391,2016-04-27,23629,20.6499996185303,336,84.780377925165809,3808
8877689391,2016-04-28,14890,11.3000001907349,297,66.80925952972099,3060
8877689391,2016-05-04,18193,16.2999992370605,286,88.37199276873865,3477
8877689391,2016-05-10,10733,8.14999961853027,253,71.544376802306971,2832
8877689391,2016-05-01,10930,8.31999969482422,214,70.713521644659849,2786
8877689391,2016-05-11,21420,19.5599994659424,313,89.149121698470921,3832
8877689391,2016-04-14,21129,18.9799995422363,379,85.320652173913047,3793
8877689391,2016-04-19,18785,17.3999996185303,309,86.588675891836914,3676
8877689391,2016-04-21,19377,17.6200008392334,321,87.133869691374414,3659
8877689391,2016-04-17,15118,8.86999988555908,380,87.874488910915545,3545
8877689391,2016-05-05,14055,10.6700000762939,270,72.851280367695324,3052
8877689391,2016-05-06,21727,19.3400001525879,345,92.840120073087988,4015
8877689391,2016-04-13,15337,9.57999992370605,342,84.743733240060678,3566
8877689391,2016-04-20,19948,18.1100006103516,317,85.494299987191013,3679
8877689391,2016-05-09,20226,18.25,309,89.6157383079349,3710
8877689391,2016-05-07,12332,8.13000011444092,404,100.99724106219101,4142
8877689391,2016-04-16,29326,25.2900009155273,552,92.055983869054785,4547
8877689391,2016-04-25,12986,8.73999977111816,339,89.8029424398626,3802
2347167796,2016-04-14,10129,6.69999980926514,255,72.579482137004192,2010
2347167796,2016-04-16,22244,15.0799999237061,406,96.623907028223613,2670
2347167796,2016-04-20,10999,7.26999998092651,323,78.182084963666881,2198
2347167796,2016-04-24,9471,6.26000022888184,360,77.575973731884091,2187
2347167796,2016-04-26,5980,3.95000004768372,227,71.7317965200044,1861
2347167796,2016-04-28,5439,3.59999990463257,229,73.408541320022167,1854
2347167796,2016-04-29,42,0.0299999993294477,4,62.86971235194585,403
2347167796,2016-04-17,5472,3.61999988555908,257,75.362180200222468,1882
2347167796,2016-04-19,6711,4.44000005722046,389,81.300996932515318,2346
2347167796,2016-04-27,11423,7.57999992370605,330,75.193621352635162,2194
2347167796,2016-04-25,9482,6.38000011444092,303,73.861356003358566,2095
2347167796,2016-04-12,10113,6.82999992370605,361,86.082333777580459,2344
2347167796,2016-04-18,8247,5.44999980926514,233,71.232144769247242,1944
2347167796,2016-04-15,10465,6.92000007629395,309,75.685256879773917,2133
2347167796,2016-04-21,10080,6.75,257,73.4142534180214,2048
